time,surface_pressure
2022-01-31,910.6
2022-02-28,911.3
2022-03-31,912.1500000000001
2022-04-30,913.1
2022-05-31,913.7
2022-06-30,914.0
2022-07-31,915.6
2022-08-31,915.3
2022-09-30,913.7
2022-10-31,912.5
2022-11-30,911.8
2022-12-31,910.4
2023-01-31,911.5
2023-02-28,912.5
2023-03-31,913.3
2023-04-30,912.6
2023-05-31,914.3499999999999
2023-06-30,915.5
2023-07-31,916.0
2023-08-31,915.1
2023-09-30,914.0
2023-10-31,912.2
2023-11-30,911.4
2023-12-31,911.7
