time,humidity
2022-01-31,86.0
2022-02-28,86.0
2022-03-31,72.0
2022-04-30,76.0
2022-05-31,75.0
2022-06-30,79.0
2022-07-31,70.0
2022-08-31,65.0
2022-09-30,67.0
2022-10-31,75.0
2022-11-30,75.0
2022-12-31,83.0
2023-01-31,88.0
2023-02-28,88.0
2023-03-31,85.0
2023-04-30,83.0
2023-05-31,79.0
2023-06-30,84.0
2023-07-31,77.0
2023-08-31,73.0
2023-09-30,63.0
2023-10-31,78.0
2023-11-30,70.0
2023-12-31,74.0
